City,RM,EXP/DM/TTD/RT/RF/RC/,RET MOBIL,TRAN MOB,current,1-yr,2-yr,5-yr
Las Vegas,0.34,0.651375867,0.449586,0.192248,5.5,4.5,4.3,3.6
Miami,0.39,0.646999108,0.366108,0.116991,5.5,4.7,4.7,4.0
Detroit,0.35,0.3391396,0.500647,0.240985,3.4,3.5,3.6,3.5
Cleveland,0.32,0.138962095,0.48731,0.306962,2.0,2.6,2.9,3.1
Honolulu,0.26,0.576506277,0.333046,0.089346,4.7,3.7,3.5,2.8
Tampa,0.27,0.249606422,0.449413,0.150345,2.6,2.6,2.8,2.7
Los Angeles,0.31,0.325775099,0.343362,0.197648,3.2,3.1,3.3,3.1
New Haven,0.24,0.137158943,0.540142,0.339106,1.9,2.1,2.3,2.3
Philly,0.39,0.3913704,0.391359,0.173518,3.8,3.9,4.1,3.9
Raleigh,0.19,0.160319624,0.433097,0.111451,1.8,1.8,1.9,1.9
Durham,0.22,0.176912778,0.405481,0.212335,2.0,2.1,2.2,2.2
Salt Lake City,0.23,0.257965539,0.482864,0.170481,2.6,2.4,2.5,2.3
New York,0.3,1,0.017826,0.053743,7.5,5.3,4.9,3.4
SF,0.27,0.744104945,0.083564,0.028545,5.7,4.3,4.0,2.9
Washington,0.25,0.256987154,0.187716,0.036391,2.4,2.5,2.6,2.5
